15	36.2	0.6	2.9
1170.4	5970.9	308.8	3349.9
1300.8	7007.9	338.8	3999.2
1328.7	7263.2	326.3	4623.2
1677.2	7461.1	345.4	4986.9
1207.7	6361.3	306.8	3980.7
996	5238.9	267.1	3587.5
827.3	5268.2	238.8	3555.1
624.2	4572.4	213.4	3054.7
759.6	4725.1	213.7	3199.6
632.1	4649.6	206.9	3152.9
740.3	4631.6	212	3154.1
688.1	4653.4	224.6	3184.6
798.4	4831.2	227.5	3466.6
790.7	5125.6	232.1	3600.1
783.8	4805.8	198	3336.5
834.2	5936.1	276.5	4673.4
851.6	5513.1	259.5	3759.6
653.6	4964.1	200.2	3525.2
909.8	5825.4	265.9	4048.2
807.6	5297.5	308.9	3515.1
783.5	5170.1	215.2	3482.5
816.7	5838.1	245.9	3916.9
817.7	5412.1	216.7	3753.9
864.9	5713	244.1	4128.7
905.2	5444.3	273.8	3756
734.3	5701.4	287	3795.8
819.6	6074.4	239.3	4161.9
818.3	5778.6	243.2	4064.6
865.9	6035.7	245.7	4248.7
984.8	6235.3	251.8	4094.3
891	5508.4	281.1	3824.3
782.7	5801.1	231.7	4055.5
935	6195.6	273.9	4267.6
795.8	5728.6	255.7	4254.1
783.7	5406.6	223.6	3584.6
653.5	5408.9	221.4	3832.4
790.9	5833.6	260.9	4241.3
792.4	5540.9	209.9	3703.9
773.1	5172.4	226	3896.4
1243.6	8052.8	357.3	5555.2
766.7	5194.3	257.4	3799.7
1044.6	6061.9	263.9	4232.3
1041.8	6347	291.9	4366.7
1167.3	6189.9	268.6	4572.7
948.3	7135.3	295.9	4983.8
1236.9	6950.8	275.1	5138.7
760.9	5671.7	287	4116
790.8	5170.7	221.2	3752.6
774.5	5573.3	256.1	3944.2
863.4	5364.7	214.4	3770.3
725.8	5306.1	213.6	3962.2
876.1	5814.7	233.1	4069.6
687.1	5388.6	239.6	3911.5
907	6078.5	257.6	4394.4
770.3	6014.1	215.6	4138.4
752.1	5499.2	276.7	3811.6
1403.8	9319.9	416.5	6379.7
833.1	5613.3	272	4082.2
848.6	5974.6	263.8	4393.2
914	6142.4	283.9	4490.2
938.1	6791.2	304.2	4672.9
876.3	5464.3	227.4	4048.5
840.5	5975.1	260.5	4073.3
793.2	5302.2	218.5	3769.3
666.4	5424.6	215.4	3906.6
827.4	5761.4	241.1	3995.4
824.9	5728.3	226.1	4112.9
735	5470.5	242.6	3915.4
687.9	5547.1	213.5	3810.7
941	6266.4	329.6	4468.2
1152.3	9816	372.1	6908.3
853.8	5847.7	248.9	4058
980.8	6399.1	270.2	4573.3
871.7	6675.4	265.4	4823.9
986.6	6115.4	231.6	4059.9
775.3	5642.5	262.6	4280.2
815.7	5913.8	250.2	4203.9
741.1	5712.8	238	4029.1
800.7	5699.4	258.9	4102.8
701.7	5510.5	246.5	4034.3
816.9	5633.1	230.1	4008.7
752.5	5566.5	249.8	4019.4
991.4	6078.4	269.2	4381.3
697.6	5587.5	254	3925.3
890.1	6130.6	245.1	4311.5
692.2	5515.6	258	3977.6
871.6	6205.7	248.9	4323.9
896.8	6246.2	289.8	4363
836.3	6438.8	289	4440.5
928.5	6454.6	269.7	4706.5
850.4	6130.9	226.4	4118.1
820	5544.4	242.5	3959.7
779.3	5666.7	225.2	3988.8
813.8	5496.4	262.1	4207.7
678	5526.7	221.9	3836.8
853.9	5995.7	242	4330
829.7	6207.1	303.6	4489.8
902	5952.1	305.9	4382.5
834.5	6268	249.3	4446.2
1254.6	8411.5	367	5995
1140.6	7180.4	318.6	5197.7
997.2	6936.1	301.8	4847
825.1	6021.8	247.5	4364.4
774.2	6043.9	288	4415.3
862.2	6240.2	283.9	4674.2
751.3	5847.7	250.6	4217.6
893.6	5784.7	237.5	4272.2
900.6	6585.6	314.2	4853.8
862.7	6326.2	240.4	4716.7
852.3	5781	249.9	4242.3
951.6	6536.8	255.7	4783.2
1041.3	6372.8	244	4604.9
847.9	6283.6	265.4	4365.2
882.4	6279.6	247.3	4348.3
759.9	6123.7	244.5	4565.5
885.3	5899.8	242.7	4144.2
726.3	5487	237	4001.6
695.6	5793	222.7	4202.3
885.6	6166	279.6	4489.7
781.2	5735.1	247	4231.8
780.7	5653.1	245.2	3952
897.1	6381.3	245	4519.4
865.1	5695	250.2	4242.1
721.6	5714.6	223.4	4351.8
1141.1	7064.5	345.1	5186.5
737.5	6053.9	233.5	4277.4
889.8	6079.6	232.3	4383.6
875.4	6383.8	266.2	4555.5
828.6	5844.1	261.9	4225
823.1	5757.2	246.2	4248.2
820.6	5790.5	300.8	4163.5
1112.9	7481.5	343.3	5463.2
889.9	6733.8	250.4	4763.8
825.1	5740.1	250.2	4088.2
773.3	5905	252.1	4254.8
